DLsv,DLcv,DRcv,DRsv
4,4,138,134
72,76,66,62
42,45,9,8
5,5,153,149
32,36,24,22
49,53,9,7
4,5,132,128
104,107,30,27
24,27,65,62
95,99,12,11
47,50,99,96
86,89,60,57
34,37,35,33
19,21,69,66
41,45,55,51
6,6,94,91
29,31,74,71
7,8,114,110
79,82,58,55
73,78,52,48
16,19,89,85
49,53,55,52
131,134,11,10
8,9,105,102
5,6,126,122
50,54,71,67
13,15,91,87
50,54,52,48
92,96,10,8
4,4,128,125
54,57,118,115
16,19,199,195
210,213,5,5
10,12,71,67
7,8,91,87
7,8,79,75
14,15,60,58
7,8,74,70
58,61,21,19
20,22,55,52
18,19,104,99
80,83,42,39
4,4,106,102
61,65,45,42
30,32,75,72
38,41,68,64
2,3,80,77
13,14,69,65
7,8,132,128
80,83,39,37
45,48,35,33
66,69,66,62
25,26,111,105
70,76,61,57
11,13,84,81
62,66,48,43
51,55,105,101
3,3,158,156
52,55,1,3
4,5,73,69
37,41,37,36
4,5,38,34
32,36,7,6
4,5,103,99
17,20,97,93
51,55,62,59
39,42,39,36
46,49,95,92
67,70,17,15
49,53,80,76
79,83,50,48
118,121,11,9
15,18,49,45
24,26,79,75
58,62,43,39
4,5,88,84
50,54,39,35
6,7,51,50
12,13,45,42
7,8,158,154
122,125,42,39
31,33,133,129
96,100,66,63
89,92,33,30
4,5,53,50
4,5,138,134
134,138,19,16
6,7,106,102
61,65,48,45
7,8,105,101
63,67,46,43
31,34,86,83
31,34,23,20
16,19,100,97
114,117,1,4
98,101,74,71
16,17,157,154
23,25,70,66
82,84,13,11
26,28,47,45
9,10,90,87
82,85,16,16
96,99,1,4
56,59,32,31
35,37,53,49
68,72,18,16
60,64,37,33
75,78,24,23
6,7,96,92
40,42,61,59
8,10,98,95
44,47,74,71
79,84,1,6
21,24,63,59
155,159,17,15
5,5,155,151
119,123,37,33
57,60,19,18
13,14,64,61
7,8,218,214
27,30,196,192
6,7,41,38
5,6,134,131
8,9,111,107
6,7,131,128
6,7,78,75
32,35,30,27
5,6,108,104
5,6,117,114
105,109,14,13
44,47,41,37
76,80,8,8
15,16,72,68
89,92,11,8
50,53,49,47
49,53,41,38
79,82,12,10
5,5,89,86
5,5,101,97
5,5,129,126
7,8,91,87
7,8,101,98
126,129,71,68
51,54,48,45
96,99,60,57
90,93,41,38
18,20,54,52
49,51,38,35
30,33,95,91
4,5,50,46
44,47,8,6
13,14,122,118
64,68,68,65
49,52,93,90
62,65,80,76
62,66,120,116
148,151,35,33
45,47,1,6
7,9,102,98
93,97,14,12
60,62,49,46
4,5,145,141
136,140,10,8
72,77,17,16
4,5,59,56
8,9,106,102
45,48,68,66
34,37,46,43
6,7,38,35
61,64,69,67
4,0,132,128
50,53,17,15
8,9,146,142
5,5,106,103
26,29,82,79
87,91,81,77
7,8,68,64
4,0,114,111
29,32,36,33
61,65,52,49
71,74,43,41
13,15,77,73
77,81,69,66
5,5,100,96
7,8,73,69
127,129,17,15
40,42,104,102
4,4,175,171
92,96,83,79
16,18,53,49
159,164,14,12
49,51,15,13
28,30,134,130
113,117,47,45
131,134,30,28
52,55,109,105
151,155,9,6
4,5,79,75
42,46,38,35
57,59,25,22
4,5,145,141
37,41,109,105
24,26,124,120
102,106,44,41
116,119,31,29
27,29,84,79
82,86,29,26
22,24,76,72
63,67,33,30
7,8,77,73
53,56,126,121
148,152,32,30
5,5,179,176
43,47,112,107
92,96,65,61
26,28,91,87
72,75,44,41
5,5,59,56
104,108,18,15
5,5,123,119
115,119,9,9
68,72,77,73
5,5,144,140
54,58,91,87
32,34,53,50
10,12,74,70
129,132,22,20
87,90,17,14
30,32,165,162
74,77,120,117
169,172,25,22
5,5,191,188
16,18,106,103
52,55,69,66
75,79,11,10
5,5,85,81
13,16,108,104
5,5,85,83
5,5,107,104
23,28,61,56
30,32,40,37
5,5,66,63
48,51,93,89
98,102,44,41
5,5,95,91
37,40,5,3
35,40,66,62
88,91,17,14
5,5,72,68
69,73,57,52
5,5,127,123
43,45,42,39
69,72,32,30
5,5,98,96
8,9,64,61
64,68,29,26
6,7,130,126
72,76,61,58
18,21,116,113
38,41,40,38
77,80,24,23
8,9,65,61
56,59,46,43
47,51,70,66
93,96,26,23
17,20,60,56
5,5,150,146
52,55,24,23
30,33,18,17
5,5,77,74
15,16,70,67
24,25,96,93
57,60,27,26
5,5,187,183
31,35,28,26
5,5,77,73
110,114,14,13
9,10,129,125
88,90,50,48
23,26,113,109
77,81,58,55
23,25,48,44
49,52,23,22
9,10,56,52
15,16,71,68
24,25,94,91
10,11,104,101
48,51,64,61
34,37,25,24
8,9,73,69
35,37,93,90
18,20,57,54
10,12,51,49
44,46,65,61
9,10,69,65
9,10,85,81
9,10,49,46
27,30,29,26
40,43,73,70
9,10,85,81
48,50,89,85
47,50,59,56
48,52,51,48
52,56,63,59
50,53,67,64
29,31,88,85
74,78,53,49
13,15,70,66
41,44,38,36
4,5,105,101
15,18,92,88
58,61,35,32
17,18,61,57
41,45,34,31
94,96,57,54
93,97,63,59
126,130,30,28
113,116,44,41
48,52,56,53
103,107,1,4
6,7,50,48
53,56,1,4
4,5,52,49
53,56,1,4
6,7,120,116
44,48,12,10
8,9,53,50
85,88,7,6
8,9,47,43
6,7,151,147
148,151,7,6
21,22,107,101
40,46,83,79
85,88,44,42
28,29,74,71
104,109,45,42
4,5,151,147
